logage,feh,bp,rp,g
5.0,-2.0,7.279,5.583,6.471
5.0,-2.0,7.091,5.422,6.3
5.0,-2.0,6.747,5.13,5.989
5.0,-2.0,6.589,4.999,5.847
5.0,-2.0,6.446,4.882,5.72
5.0,-2.0,6.405,4.848,5.684
5.0,-2.0,6.135,4.628,5.444
5.0,-2.0,5.836,4.385,5.178
5.0,-2.0,5.636,4.228,5.004
5.0,-2.0,5.574,4.177,4.948
5.0,-2.0,4.981,3.69,4.416
5.0,-2.0,4.715,3.467,4.174
5.0,-2.0,4.502,3.288,3.98
5.0,-2.0,4.209,3.036,3.709
5.0,-2.0,4.11,2.951,3.618
5.0,-2.0,3.942,2.803,3.461
5.0,-2.0,3.782,2.662,3.311
5.0,-2.0,3.489,2.4,3.035
5.0,-2.0,3.267,2.202,2.825
5.0,-2.0,3.07,2.024,2.637
5.0,-2.0,2.886,1.856,2.462
5.0,-2.0,2.777,1.756,2.358
5.0,-2.0,2.733,1.717,2.316
5.0,-2.0,2.582,1.578,2.172
5.0,-2.0,2.396,1.424,2.002
5.0,-2.0,2.262,1.298,1.873
5.0,-2.0,2.233,1.271,1.844
5.0,-2.0,2.158,1.201,1.772
5.0,-2.0,2.056,1.105,1.673
5.0,-2.0,1.957,1.011,1.576
5.0,-2.0,1.867,0.926,1.489
5.0,-2.0,1.86,0.919,1.482
5.0,-2.0,1.787,0.852,1.411
5.0,-2.0,1.745,0.812,1.371
5.0,-2.0,1.71,0.78,1.337
5.0,-2.0,1.637,0.71,1.266
5.0,-2.0,1.552,0.629,1.183
5.0,-2.0,1.529,0.607,1.16
5.0,-2.0,1.493,0.574,1.125
5.0,-2.0,1.474,0.555,1.107
5.0,-2.0,1.43,0.514,1.064
5.0,-2.0,1.37,0.457,1.006
5.0,-2.0,1.342,0.431,0.979
5.0,-2.0,1.319,0.41,0.957
5.0,-2.0,1.262,0.355,0.901
5.0,-2.0,1.256,0.349,0.895
5.0,-2.0,1.222,0.318,0.862
5.0,-2.0,1.214,0.311,0.855
